"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","040","AUT","Австрия","2005","5.6",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","040","AUT","Австрия","2006","5.3",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","040","AUT","Австрия","2007","4.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","040","AUT","Австрия","2008","4.1",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","040","AUT","Австрия","2009","5.7",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","040","AUT","Австрия","2010","5.2",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","040","AUT","Австрия","2011","4.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","040","AUT","Австрия","2012","5.2",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","040","AUT","Австрия","2013","5.7",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","040","AUT","Австрия","2014","6.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","040","AUT","Австрия","2015","6.1",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","040","AUT","Австрия","2016","6.5",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","040","AUT","Австрия","2017","5.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","040","AUT","Австрия","2018","5.2",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","040","AUT","Австрия","2019","4.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","040","AUT","Австрия","2020","6.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","031","AZE","Азербайджан","2005","7.3",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","031","AZE","Азербайджан","2006","6.6",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","031","AZE","Азербайджан","2007","8.6",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","031","AZE","Азербайджан","2008","5.7",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","031","AZE","Азербайджан","2009","5.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","031","AZE","Азербайджан","2010","5.7",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","031","AZE","Азербайджан","2011","5.5",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","031","AZE","Азербайджан","2012","5.3",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","031","AZE","Азербайджан","2013","5.1",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","031","AZE","Азербайджан","2014","4.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","031","AZE","Азербайджан","2015","5.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","031","AZE","Азербайджан","2016","5.5",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","031","AZE","Азербайджан","2017","5.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","031","AZE","Азербайджан","2018","..",
